"","replication","arrivals","mean_patients_in_service","mean_queue_length_nurse","mean_waiting_time_nurse","mean_serve_time_nurse","utilisation_nurse","count_unseen_nurse","mean_waiting_time_unseen_nurse"
"1",1,17,1.61597498068087,0,0.0297110677136186,7.63152041888613,0.321781269774897,0,NA
"2",2,19,2.28712055121978,0,0.101040574692938,9.18878981895768,0.452382385830568,0,NA
"3",3,28,3.25746412528672,0,0,10.4701183137838,0.651492825057344,0,NA
"4",4,15,1.75767443453043,0,0,9.18861904064563,0.351534886906086,0,NA
"5",5,25,3.09370786839635,0.34868028256902,0.322513117516008,8.8901047859764,0.597080817100141,0,NA
"6",6,17,1.80509686316889,0,0,8.23992372418066,0.361019372633778,0,NA
"7",7,23,1.60697598063594,0,0,5.53788504756327,0.321395196127189,0,NA
"8",8,20,2.24217319483934,0,0.0132437031610614,9.68966837992949,0.447763057434249,0,NA
"9",9,18,1.35989230896731,0,0,5.69469476601722,0.271978461793463,0,NA
"10",10,18,2.0266731707529,0,0,7.86691705434627,0.405334634150579,0,NA
"11",11,22,2.74369456768861,0,0.178285154345982,10.4113632701246,0.538823824586796,1,0.110289640545076
"12",12,23,3.86306741301325,0.35695845862804,1.05024641136403,12.1477622326545,0.709155973737065,0,NA
"13",13,23,2.65109519940729,0,0,9.8361222557303,0.530219039881457,0,NA
"14",14,20,1.34602381639707,0,0,6.60657162584051,0.269204763279413,0,NA
"15",15,20,2.23685443118291,0.1264106277891,0.170083969100484,9.17706159275889,0.438746125265171,0,NA
"16",16,19,3.04976847113315,0,0.0589192776103311,11.191614579367,0.606543328484491,0,NA
"17",17,26,3.53221571175552,0.0825728116665611,0.277315648204579,11.6184354149524,0.686704488266325,0,NA
"18",18,28,4.36243402289585,0,0.443846146249188,11.9342038059399,0.840559238702617,0,NA
"19",19,31,2.88604158128481,0,0.145292766213914,8.41744543700317,0.565685831274624,0,NA
"20",20,27,3.45397194744579,0,0.297956051973478,13.0282050263095,0.668410451128221,2,0.894408566276674
"21",21,29,4.57459829417959,0.459069441116161,1.66755733669065,12.0497483334183,0.790786962492924,0,NA
"22",22,20,1.53754563594617,0,0.00642536100964345,10.0530141697349,0.307196528441256,1,0.295575513104623
"23",23,18,1.48494494278535,0.00644638662060309,0,8.85722070282378,0.290019093271216,3,1.98927764070907
"24",24,26,2.33412268851455,0,0,7.2627261645698,0.466824537702909,0,NA
"25",25,20,2.30339212712059,0,0.0340008021966007,10.7456649587181,0.458821020494748,0,NA
"26",26,25,3.13946559938277,0.0699830082528678,0.15100677538525,9.80063206116587,0.618236894658308,0,NA
"27",27,24,2.32277908968131,0,0,9.33051907499947,0.464555817936262,0,NA
"28",28,26,2.26636430490485,0,0.0241991698648702,7.94406784506722,0.451633185733177,0,NA
"29",29,16,1.44980347581221,0,0,8.86928300112384,0.289960695162442,0,NA
"30",30,11,1.26596646956466,0,0,11.8724741358601,0.253193293912932,0,NA
"31",31,16,2.07672852184892,0,0.055613581223326,9.97457584712472,0.41304277058865,0,NA
"32",32,22,1.82355351938841,0,0,6.63299321517858,0.364710703877682,0,NA
"33",33,16,1.28738658982146,0,0,8.03183489992766,0.257477317964292,0,NA
"34",34,22,2.07174537374102,0,0.0155770396662456,7.34334979035023,0.413471999581931,0,NA
"35",35,18,1.60810149545206,0,0,8.25802250793403,0.321620299090412,0,NA
"36",36,28,4.63444280001162,1.10564645527048,3.72694790976831,13.5272546087547,0.650357989794035,4,5.28906559856188
"37",37,27,3.4275859827649,0.136454930139954,0.399152297238714,9.98801624504092,0.658190160348001,0,NA
"38",38,14,1.63103948802231,0,0,10.2861462189053,0.326207897604462,0,NA
"39",39,29,2.83433612952734,0,0,7.85021245640937,0.566867225905469,0,NA
"40",40,26,3.89474829260191,0.535912748150091,1.91247251072394,12.8619514237874,0.642093770374163,3,3.04827668700622
"41",41,21,2.42367943188723,0.0763778912742902,0.0453247081793297,10.0680123516473,0.482309423015831,0,NA
"42",42,20,2.27560325403713,0,0,10.7276326587023,0.455120650807426,0,NA
"43",43,21,1.31966327946544,0,0,5.24148455108807,0.263932655893087,0,NA
"44",44,28,2.78240204323665,0,0.00174902326446359,8.31401509389769,0.556345163275189,0,NA
"45",45,19,2.09124155962457,0,0,9.329394055908,0.418248311924914,0,NA
"46",46,21,3.51522012177382,0.394192698916096,1.63965178680796,11.5920027463242,0.610956403694921,0,NA
"47",47,27,3.36508741824014,0.189403454317116,0.398370248770011,9.90756456690094,0.644296740567302,0,NA
"48",48,15,1.07247028239836,0,0,6.99894911211615,0.214494056479672,0,NA
"49",49,23,3.87321131787925,0.486363082709134,1.70883342637676,15.7069900045897,0.661910823367249,2,9.09389588752219
"50",50,15,1.79162459288253,0,0,9.21300562875349,0.358324918576507,0,NA
"51",51,15,1.20504214159483,0,0,6.19468147107929,0.241008428318965,0,NA
"52",52,16,1.04772627798087,0,0,5.29310704331107,0.209545255596174,0,NA
"53",53,22,1.64362647469476,0,0.0130946576294694,5.93377235013188,0.327985505674979,0,NA
"54",54,23,2.39220629019816,0,0,8.59367024348112,0.478441258039632,0,NA
"55",55,17,1.42566675169296,0,0,6.93119624019823,0.285133350338592,0,NA
"56",56,30,2.56113842816588,0,0.013789375215436,7.13302123353594,0.511130289124139,0,NA
"57",57,15,1.53864437814936,0,0,10.5649018496925,0.307728875629871,0,NA
"58",58,18,2.38733229439031,0,0,11.9997290907333,0.477466458878061,0,NA
"59",59,13,1.4531292087715,0,0,11.6365895075426,0.290625841754301,0,NA
